,wp_id,comm_year,share,no_classes,max_class,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1.0,2016.0,6.07,3.0,21.0,0.78,1.32,0.64,2.73,1.82,0.57,0.45,2.35,1.51,2.69,2.78,6.07,6.87
1,10.0,2008.0,0.08,1.0,21.0,0.56,1.43,1.51,0.08,1.51,1.11,0.08,1.35,1.59,0.71,1.51,1.11,0.56
2,11.0,2008.0,12.77,4.0,23.0,3.24,8.27,6.83,12.77,5.04,3.24,1.44,3.42,5.04,6.65,7.37,3.42,10.25
3,12.0,2008.0,1.06,3.0,21.0,1.46,2.39,1.06,1.06,0.8,0.8,1.33,0.53,0.13,0.27,3.72,0.8,0.53
4,13.0,2014.0,10.95,3.0,1.0,9.39,8.08,7.93,12.77,12.52,9.44,9.59,12.62,12.62,10.95,4.04,28.07,22.51
5,14.0,2010.0,1.51,5.0,21.0,2.05,1.72,1.76,1.28,1.69,1.51,1.67,0.99,1.78,1.3,2.42,2.87,2.13
6,15.0,2014.0,5.76,4.0,25.0,3.65,3.33,11.55,5.02,8.47,4.3,8.92,8.0,6.39,5.76,5.79,7.8,10.83
7,16.0,2009.0,0.62,4.0,21.0,0.83,0.41,0.36,0.05,0.62,0.21,0.26,0.52,0.83,0.16,1.4,0.98,0.16
8,17.0,2013.0,8.53,5.0,21.0,13.51,6.87,7.58,3.79,5.92,3.55,5.69,14.69,8.53,6.4,4.03,15.17,6.64
9,18.0,2012.0,18.67,2.0,21.0,5.26,5.86,5.86,2.38,2.28,1.39,1.09,18.67,2.38,3.97,1.79,1.59,2.88
10,19.0,2014.0,4.68,3.0,21.0,3.65,4.16,2.33,3.18,5.38,1.92,4.63,8.2,5.74,4.68,2.62,4.42,6.94
11,2.0,2018.0,,,,0.87,0.87,0.87,4.46,16.76,0.68,0.58,21.71,1.16,0.48,1.84,10.66,25.29
