,NOME_EOL,INIC_OPER,POT_MW,QTD_AERO,AREA_M2,EOL_VERSAO,CRIADOR,DATA_CRIAC,ATUALIZADO,DATA_ATUAL,VERSAO_ATU,ESTAGIO_GE,ESTAGIO,SHAPE_STAr,SHAPE_STLe,NM_ESTADO,NM_REGIAO,CD_GEOCUF,geometry,comm_year,wp_id
0,Malhadinha I,2016-10-20,23.1,11,14145561.6792,846,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,0.00115119764877,0.140043291635,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.10631164700001 -3.963262207999946 0, -41.14756195299998 -3.986842897999963 0, -41.15483014099997 -3.970639083999956 0, -41.1538342379999 -3.959400903999942 0, -41.11650100399993 -3.942976583999986 0, -41.10631164700001 -3.963262207999946 0))",2016,1
1,Bons Ventos Cacimbas 2,2018-06-16,23.1,11,918174.0,1277,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,7.51519440882e-05,0.0596113559836,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.03842446899993 -3.880726328000016 0, -41.03928018499994 -3.887330430999945 0, -41.04182253899997 -3.907074017999911 0, -41.0447081799999 -3.907581549999982 0, -41.04201402900001 -3.886744367999945 0, -41.04117733499997 -3.880460608999968 0, -41.03842446899993 -3.880726328000016 0))",2018,2
2,Bons Ventos Cacimbas 5,2018-05-18,21.0,10,1152230.0,1278,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,9.6896594755e-05,0.112242596129,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.014466952 -3.956082748999933 0, -41.01923237899994 -3.945146215999912 0, -41.01950432699997 -3.944558846999897 0, -41.02314457799999 -3.936974704999969 0, -41.02321186399995 -3.936879091999963 0, -41.02539752599996 -3.932138130999917 0, -41.02712027899995 -3.928431272999987 0, -41.03660746099995 -3.906078199999939 0, -41.03485248899997 -3.906598846999941 0, -41.02356505899996 -3.931318525999956 0, -41.02320708699992 -3.932087633000002 0, -41.02123631699993 -3.936394316999909 0, -41.02119781699994 -3.936473866000007 0, -41.01785395999993 -3.944331833999946 0, -41.01260567600001 -3.955559098999949 0, -41.014466952 -3.956082748999933 0))",2018,3
3,Bons Ventos Cacimbas 3,2018-05-10,14.7,7,456331.0,308,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,3.71385098248e-05,0.0497422132264,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.02043620899998 -3.871254054999916 0, -41.02086220199997 -3.876303127999968 0, -41.02266603499992 -3.875794753000001 0, -41.02193333099995 -3.870635013999944 0, -41.02183067199999 -3.870541799999955 0, -41.02128791699993 -3.866484122999957 0, -41.01921215999995 -3.853625357999967 0, -41.01772135999997 -3.852820973999933 0, -41.01900555699991 -3.863133427000009 0, -41.02040279199997 -3.871100749999933 0, -41.02043620899998 -3.871254054999916 0))",2018,4
4,Bons Ventos Cacimbas 4,2018-05-18,10.5,5,22286300.0,309,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,0.00018880257727,0.115849090302,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.014466952 -3.956082748999933 0, -41.01671905599991 -3.956707968999972 0, -41.01829104199994 -3.957152325999964 0, -41.023373442 -3.945515759999935 0, -41.02703296899993 -3.937173144999961 0, -41.027084316 -3.937083104999971 0, -41.030798408 -3.928966741999972 0, -41.03904269099992 -3.906579643999947 0, -41.03660746099995 -3.906078199999939 0, -41.02712027899995 -3.928431272999987 0, -41.02539752599996 -3.932138130999917 0, -41.02321186399995 -3.936879091999963 0, -41.02314457799999 -3.936974704999969 0, -41.01950432699997 -3.944558846999897 0, -41.01923237899994 -3.945146215999912 0, -41.014466952 -3.956082748999933 0))",2018,5
5,Bons Ventos Cacimbas 7,2018-06-16,16.8,8,927275.0,311,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,7.55592792387e-05,0.0593033546742,CEARÃ,NORDESTE,23,"POLYGON Z ((-41.03842446899993 -3.880726328000016 0, -41.04117733499997 -3.880460608999968 0, -41.04066436699998 -3.876607974999963 0, -41.04065651499995 -3.876512636999984 0, -41.04035702599995 -3.874012282999956 0, -41.04029358699994 -3.873724700999964 0, -41.03875920699991 -3.86099576699997 0, -41.03875897899998 -3.860900120999965 0, -41.03788113699991 -3.854101158999988 0, -41.03495768099997 -3.853910725999953 0, -41.03617850399999 -3.863483289999998 0, -41.03620888899993 -3.863572634000022 0, -41.03741158799996 -3.873010681999951 0, -41.03745124699996 -3.873284596999966 0, -41.03799588599999 -3.877372241999965 0, -41.0380033449999 -3.877476242999954 0, -41.03842446899993 -3.880726328000016 0))",2018,6
6,SÃ£o Jorge,2014-11-11,24.0,12,1728105.84939,773,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,0.000140722465794,0.0800430987163,CEARÃ,NORDESTE,23,"POLYGON Z ((-39.24636673498217 -3.251233979195185 0, -39.24991588299996 -3.251559241999963 0, -39.25405833999996 -3.25134294699992 0, -39.25406500499997 -3.251343036999927 0, -39.2540672659999 -3.251354799999923 0, -39.26139872599997 -3.250974399999983 0, -39.25762442799996 -3.238059029999924 0, -39.25748694199996 -3.238352803999895 0, -39.25738380399995 -3.238473780999961 0, -39.25693681799991 -3.238802190999955 0, -39.25628344899994 -3.238957865999957 0, -39.25640387499996 -3.239199736999986 0, -39.25618034899994 -3.239234350999915 0, -39.25645562899998 -3.23987359399996 0, -39.25593432399992 -3.240104543999977 0, -39.25648614899993 -3.241253602000015 0, -39.25512363599999 -3.241685915999902 0, -39.25505065099999 -3.241734836999953 0, -39.25544831099995 -3.242647574999979 0, -39.25551323099999 -3.242777963000016 0, -39.25271270499999 -3.244253108999949 0, -39.24760476899996 -3.243591031999969 0, -39.24605484299997 -3.243790243999932 0, -39.24631073099992 -3.245057736999996 0, -39.24565950499994 -3.245447276999897 0, -39.24521038999991 -3.244552360999926 0, -39.24439422199997 -3.244734821999927 0, -39.24208585199993 -3.245174467999973 0, -39.24091077599996 -3.245781079999987 0, -39.24090253599999 -3.245797650999933 0, -39.24011937599994 -3.246112656999976 0, -39.24002038500001 -3.245872424999995 0, -39.23875081499995 -3.246270390999968 0, -39.23840422799996 -3.244928353999953 0, -39.23672735999995 -3.24540092499997 0, -39.236405807 -3.245334724000003 0, -39.234188145 -3.245882030999987 0, -39.23431754299995 -3.24738966799994 0, -39.23755755999998 -3.246949819999962 0, -39.23778030599994 -3.247554549999997 0, -39.24076861899992 -3.246974670999975 0, -39.24270607999991 -3.246916211999938 0, -39.2456310059999 -3.246226731 0, -39.24636673498217 -3.251233979195185 0))",2014,7
7,SÃ£o CristÃ³vÃ£o,2014-11-11,26.0,13,2723238.56996,774,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,0.000221759850945,0.0739289674769,CEARÃ,NORDESTE,23,"POLYGON Z ((-39.24991588299996 -3.251559241999963 0, -39.24636673498217 -3.251233979195185 0, -39.24633520699999 -3.251231089999991 0, -39.241637855 -3.252589581999949 0, -39.24054490699998 -3.255778785999951 0, -39.23737196399999 -3.256362826999954 0, -39.23750213999993 -3.257797961999948 0, -39.23899139399996 -3.25745992199996 0, -39.23925321599995 -3.259850854999989 0, -39.241017459 -3.259643215999951 0, -39.24198954399996 -3.266619884999976 0, -39.247295031 -3.265078270999965 0, -39.26533582899994 -3.261069346999911 0, -39.25706081199996 -3.255370644999929 0, -39.24981897099993 -3.254899499999937 0, -39.24991588299996 -3.251559241999963 0))",2014,8
8,TaÃ­ba Andorinha,2014-06-19,14.7,7,385659.97,218,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,3.14140369824e-05,0.0381284541483,CEARÃ,NORDESTE,23,"POLYGON Z ((-38.89792738299993 -3.520229107999945 0, -38.89796856399997 -3.528747061999958 0, -38.89913646899996 -3.528668554999946 0, -38.89992161199991 -3.528629550999917 0, -38.89969178499999 -3.51862466599998 0, -38.89965692399995 -3.511198092999941 0, -38.89787046299993 -3.511947152999923 0, -38.89785532299992 -3.51298645699994 0, -38.89792738299993 -3.520229107999945 0))",2014,9
9,EÃ³lica de TaÃ­ba,2008-12-09,5.0,10,1126399.65639,19,SGI_EDITOR_5,2018-12-19,SGI_EDITOR_5,2018-12-19,1,3,OperaÃ§Ã£o,9.174952406e-05,0.0666553510954,CEARÃ,NORDESTE,23,"POLYGON Z ((-38.93308974899996 -3.49082367599992 0, -38.93356922299994 -3.493762042999947 0, -38.9343503269999 -3.496882687999957 0, -38.93467182199995 -3.499065951999945 0, -38.93510354599997 -3.499050248999979 0, -38.93537943499997 -3.499085406999953 0, -38.93636065999997 -3.499260152999938 0, -38.93613725799996 -3.500607674999962 0, -38.93489590599992 -3.500398296999961 0, -38.9331137089999 -3.500718767999921 0, -38.93139246499995 -3.501122361999919 0, -38.93142619499999 -3.501349191999942 0, -38.93296155300001 -3.511868317999884 0, -38.93709229499994 -3.511376553999966 0, -38.93609013899997 -3.502259030999909 0, -38.938126879 -3.501031206999926 0, -38.93825756599998 -3.501139064999968 0, -38.93804604999998 -3.501517240999902 0, -38.938994177 -3.501299272999987 0, -38.93933921299995 -3.500563485999947 0, -38.93959092399999 -3.500074367999979 0, -38.93967733799995 -3.499707655999927 0, -38.93972229399994 -3.498308156999947 0, -38.94021226099998 -3.495382386999985 0, -38.93957977099996 -3.495091286999973 0, -38.93941770599996 -3.495629752999939 0, -38.93816705499995 -3.495905313999998 0, -38.93795812399998 -3.494610088999949 0, -38.93662841099992 -3.494853644999935 0, -38.93663986599998 -3.494145258999943 0, -38.93800715199995 -3.493845227999898 0, -38.93792469399997 -3.492611078999929 0, -38.93758391599993 -3.492753246999968 0, -38.93723709999993 -3.49308151299995 0, -38.9364478539999 -3.492678515000001 0, -38.93680780700002 -3.491984536999958 0, -38.93630804699997 -3.491743817999932 0, -38.93620674899994 -3.491761461999971 0, -38.93509432 -3.491935566999899 0, -38.93484449299994 -3.490496740999959 0, -38.93308974899996 -3.49082367599992 0))",2008,10
